#,Date,Airport,Business Jet,Business Aviation,Departures,Arrivals,Total Operations,Departure Seats,Average Departure Seats,Arrival Seats,Average Arrival Seats
1889,08/2013,BOS - Boston,No,Yes,"2,589","1,895","4,484","11,214",4,"8,448",4
Sub-Total for No,,,,,"16,964","16,046","33,010","1,823,682",107,"1,822,823",113
1890,08/2013,BOS - Boston,Yes,Yes,821,815,"1,636","9,044",11,"8,937",10
Sub-Total for Yes,,,,,"3,410","2,710","6,120","20,258",5,"17,385",6
Sub-Total for BOS - Boston,,,,,"17,785","16,861","34,646","1,832,726",103,"1,831,760",108
1891,08/2013,CLT - Charlotte,No,No,"22,801","22,756","45,557","2,354,225",103,"2,349,482",103
1892,08/2013,CLT - Charlotte,No,Yes,331,332,663,"2,191",6,"2,149",6
Sub-Total for No,,,,,"23,132","23,088","46,220","2,356,416",101,"2,351,631",101
1893,08/2013,CLT - Charlotte,Yes,Yes,816,815,"1,631","9,327",11,"9,344",11
Sub-Total for Yes,,,,,"1,147","1,147","2,294","11,518",10,"11,493",10
Sub-Total for CLT - Charlotte,,,,,"23,948","23,903","47,851","2,365,743",98,"2,360,975",98
1894,08/2013,DEN - Denver,No,No,"25,617","25,635","51,252","2,702,800",105,"2,705,914",105
1895,08/2013,DEN - Denver,No,Yes,214,186,400,"1,527",7,"1,370",7
Sub-Total for No,,,,,"25,831","25,821","51,652","2,704,327",104,"2,707,284",104
1896,08/2013,DEN - Denver,Yes,Yes,226,226,452,"2,674",11,"2,697",11
Sub-Total for Yes,,,,,440,412,852,"4,201",9,"4,067",9
Sub-Total for DEN - Denver,,,,,"26,057","26,047","52,104","2,707,001",103,"2,709,981",104
1897,08/2013,DFW - Dallas/Ft. Worth,No,No,"29,706","29,654","59,360","3,487,409",117,"3,486,490",117
1898,08/2013,DFW - Dallas/Ft. Worth,No,Yes,176,150,326,"1,958",11,"1,626",10
Sub-Total for No,,,,,"29,882","29,804","59,686","3,489,367",116,"3,488,116",117
1899,08/2013,DFW - Dallas/Ft. Worth,Yes,Yes,188,191,379,"1,924",10,"1,909",9
Sub-Total for Yes,,,,,364,341,705,"3,882",10,"3,535",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"30,070","29,995","60,065","3,491,291",116,"3,490,025",116
1900,08/2013,DTW - Detroit,Unknown,Unknown,1,0,1,5,5,0,0
1901,08/2013,DTW - Detroit,No,No,"19,418","19,387","38,805","1,856,905",95,"1,852,641",95
1902,08/2013,DTW - Detroit,No,Yes,68,68,136,422,6,420,6
Sub-Total for No,,,,,"19,486","19,455","38,941","1,857,327",95,"1,853,061",95
1903,08/2013,DTW - Detroit,Yes,Yes,282,280,562,"2,936",10,"2,927",10
Sub-Total for Yes,,,,,350,348,698,"3,358",9,"3,347",9
Sub-Total for DTW - Detroit,,,,,"19,769","19,735","39,504","1,860,268",94,"1,855,988",94
1904,08/2013,EWR - Newark,No,No,"17,689","17,725","35,414","2,094,512",118,"2,102,186",118
1905,08/2013,EWR - Newark,No,Yes,235,232,467,"2,036",8,"2,030",8
Sub-Total for No,,,,,"17,924","17,957","35,881","2,096,548",116,"2,104,216",117
1906,08/2013,EWR - Newark,Yes,Yes,201,199,400,"2,181",10,"2,173",10
Sub-Total for Yes,,,,,436,431,867,"4,217",9,"4,203",9
Sub-Total for EWR - Newark,,,,,"18,125","18,156","36,281","2,098,729",115,"2,106,389",116
1907,08/2013,IAH - Houston,No,No,"21,088","20,776","41,864","2,141,842",101,"2,108,637",101
1908,08/2013,IAH - Houston,No,Yes,251,234,485,"2,182",8,"2,057",8
Sub-Total for No,,,,,"21,339","21,010","42,349","2,144,024",100,"2,110,694",100
1909,08/2013,IAH - Houston,Yes,Yes,505,494,999,"5,780",11,"5,654",11
Sub-Total for Yes,,,,,756,728,"1,484","7,962",10,"7,711",10
Sub-Total for IAH - Houston,,,,,"21,844","21,504","43,348","2,149,804",98,"2,116,348",98
1910,08/2013,JFK - New York,No,No,"18,870","18,948","37,818","3,039,356",161,"3,039,452",160
1911,08/2013,JFK - New York,No,Yes,44,42,86,331,7,315,7
Sub-Total for No,,,,,"18,914","18,990","37,904","3,039,687",160,"3,039,767",160
1912,08/2013,JFK - New York,Yes,Yes,237,231,468,"2,489",10,"2,414",10
Sub-Total for Yes,,,,,281,273,554,"2,820",10,"2,729",9
Sub-Total for JFK - New York,,,,,"19,151","19,221","38,372","3,042,176",158,"3,042,181",158
1913,08/2013,LAS - Las Vegas,No,No,"15,082","15,063","30,145","2,133,036",141,"2,131,633",141
1914,08/2013,LAS - Las Vegas,No,Yes,251,239,490,"1,873",7,"1,771",7
Sub-Total for No,,,,,"15,333","15,302","30,635","2,134,909",139,"2,133,404",139
1915,08/2013,LAS - Las Vegas,Yes,Yes,"1,848","1,849","3,697","19,609",10,"19,658",10
Sub-Total for Yes,,,,,"2,099","2,088","4,187","21,482",10,"21,429",10
Sub-Total for LAS - Las Vegas,,,,,"17,181","17,151","34,332","2,154,518",125,"2,153,062",125
1916,08/2013,LAX - Los Angeles,No,No,"26,924","26,773","53,697","3,849,358",142,"3,819,889",142
1917,08/2013,LAX - Los Angeles,No,Yes,44,48,92,261,5,283,5
Sub-Total for No,,,,,"26,968","26,821","53,789","3,849,619",142,"3,820,172",142
1918,08/2013,LAX - Los Angeles,Yes,Yes,826,821,"1,647","9,410",11,"9,422",11
Sub-Total for Yes,,,,,870,869,"1,739","9,671",11,"9,705",11
Sub-Total for LAX - Los Angeles,,,,,"27,794","27,642","55,436","3,859,029",138,"3,829,594",138
1919,08/2013,LGA - New York,No,No,"16,115","16,113","32,228","1,611,295",99,"1,613,142",100
1920,08/2013,LGA - New York,No,Yes,58,67,125,438,7,527,7
Sub-Total for No,,,,,"16,173","16,180","32,353","1,611,733",99,"1,613,669",99
1921,08/2013,LGA - New York,Yes,Yes,252,253,505,"2,862",11,"2,867",11
Sub-Total for Yes,,,,,310,320,630,"3,300",10,"3,394",10
Sub-Total for LGA - New York,,,,,"16,425","16,433","32,858","1,614,595",98,"1,616,536",98
1922,08/2013,MCO - Orlando,No,No,"11,435","11,421","22,856","1,685,077",147,"1,687,232",147
1923,08/2013,MCO - Orlando,No,Yes,166,181,347,791,4,837,4
Sub-Total for No,,,,,"11,601","11,602","23,203","1,685,868",145,"1,688,069",145
1924,08/2013,MCO - Orlando,Yes,Yes,495,511,"1,006","4,924",9,"5,136",10
Sub-Total for Yes,,,,,661,692,"1,353","5,715",8,"5,973",8
Sub-Total for MCO - Orlando,,,,,"12,096","12,113","24,209","1,690,792",139,"1,693,205",139
1925,08/2013,MIA - Miami,No,No,"15,612","15,584","31,196","2,425,172",155,"2,429,459",155
1926,08/2013,MIA - Miami,No,Yes,161,141,302,"1,183",7,"1,066",7
Sub-Total for No,,,,,"15,773","15,725","31,498","2,426,355",153,"2,430,525",154
1927,08/2013,MIA - Miami,Yes,Yes,638,655,"1,293","6,676",10,"6,831",10
Sub-Total for Yes,,,,,799,796,"1,595","7,859",9,"7,897",9
Sub-Total for MIA - Miami,,,,,"16,411","16,380","32,791","2,433,031",148,"2,437,356",148
1928,08/2013,MSP - Minneapolis,No,No,"19,152","19,211","38,363","1,950,592",101,"1,956,027",101
1929,08/2013,MSP - Minneapolis,No,Yes,213,215,428,"1,028",4,"1,044",4
Sub-Total for No,,,,,"19,365","19,426","38,791","1,951,620",100,"1,957,071",100
1930,08/2013,MSP - Minneapolis,Yes,Yes,628,620,"1,248","7,016",11,"6,932",11
Sub-Total for Yes,,,,,841,835,"1,676","8,044",9,"7,976",9
Sub-Total for MSP - Minneapolis,,,,,"19,993","20,046","40,039","1,958,636",97,"1,964,003",97
1931,08/2013,ORD - Chicago,No,No,"39,624","39,625","79,249","3,924,056",99,"3,922,935",99
1932,08/2013,ORD - Chicago,No,Yes,199,201,400,"2,227",11,"2,249",11
Sub-Total for No,,,,,"39,823","39,826","79,649","3,926,283",98,"3,925,184",98
1933,08/2013,ORD - Chicago,Yes,Yes,331,328,659,"3,592",10,"3,561",10
Sub-Total for Yes,,,,,530,529,"1,059","5,819",10,"5,810",10
Sub-Total for ORD - Chicago,,,,,"40,154","40,154","80,308","3,929,875",97,"3,928,745",97
1934,08/2013,PHL - Philadelphia,No,No,"18,323","18,240","36,563","1,695,012",92,"1,694,958",92
1935,08/2013,PHL - Philadelphia,No,Yes,144,108,252,806,5,620,5
Sub-Total for No,,,,,"18,467","18,348","36,815","1,695,818",91,"1,695,578",92
1936,08/2013,PHL - Philadelphia,Yes,Yes,706,718,"1,424","7,767",11,"7,856",10
Sub-Total for Yes,,,,,850,826,"1,676","8,573",10,"8,476",10
Sub-Total for PHL - Philadelphia,,,,,"19,173","19,066","38,239","1,703,585",88,"1,703,434",89
1937,08/2013,PHX - Phoenix,No,No,"17,141","16,682","33,823","2,041,619",119,"2,032,918",121
1938,08/2013,PHX - Phoenix,No,Yes,535,440,975,"2,078",3,"1,538",3
Sub-Total for No,,,,,"17,676","17,122","34,798","2,043,697",115,"2,034,456",118
1939,08/2013,PHX - Phoenix,Yes,Yes,470,486,956,"4,461",9,"4,603",9
Sub-Total for Yes,,,,,"1,005",926,"1,931","6,539",6,"6,141",6
Sub-Total for PHX - Phoenix,,,,,"18,146","17,608","35,754","2,048,158",112,"2,039,059",115
1940,08/2013,SEA - Seattle,No,No,"14,967","14,944","29,911","2,046,780",136,"2,043,617",136
1941,08/2013,SEA - Seattle,No,Yes,111,111,222,140,1,99,0
Sub-Total for No,,,,,"15,078","15,055","30,133","2,046,920",135,"2,043,716",135
1942,08/2013,SEA - Seattle,Yes,Yes,88,89,177,929,10,935,10
Sub-Total for Yes,,,,,199,200,399,"1,069",5,"1,034",5
Sub-Total for SEA - Seattle,,,,,"15,166","15,144","30,310","2,047,849",135,"2,044,651",135
1943,08/2013,SFO - San Francisco,No,No,"18,194","18,180","36,374","2,592,045",142,"2,589,956",142
1944,08/2013,SFO - San Francisco,No,Yes,86,78,164,477,5,433,5
Sub-Total for No,,,,,"18,280","18,258","36,538","2,592,522",141,"2,590,389",141
1945,08/2013,SFO - San Francisco,Yes,Yes,725,729,"1,454","8,096",11,"8,110",11
Sub-Total for Yes,,,,,811,807,"1,618","8,573",10,"8,543",10
Sub-Total for SFO - San Francisco,,,,,"19,005","18,987","37,992","2,600,618",136,"2,598,499",136
Sub-Total for 08/2013,,,,,"438,501","436,265","874,766","50,738,108",115,"50,659,644",116
1946,09/2013,ATL - Atlanta,No,No,"36,488","36,325","72,813","4,739,527",129,"4,725,196",130
1947,09/2013,ATL - Atlanta,No,Yes,98,91,189,881,8,846,9
Sub-Total for No,,,,,"36,586","36,416","73,002","4,740,408",129,"4,726,042",129
1948,09/2013,ATL - Atlanta,Yes,Yes,213,217,430,"2,192",10,"2,184",10
Sub-Total for Yes,,,,,311,308,619,"3,073",9,"3,030",9
Sub-Total for ATL - Atlanta,,,,,"36,799","36,633","73,432","4,742,600",128,"4,728,226",129
1949,09/2013,BOS - Boston,No,No,"12,836","12,625","25,461","1,608,591",125,"1,606,571",127
1950,09/2013,BOS - Boston,No,Yes,"2,085","1,532","3,617","9,082",4,"6,860",4
Sub-Total for No,,,,,"14,921","14,157","29,078","1,617,673",108,"1,613,431",113
1951,09/2013,BOS - Boston,Yes,Yes,"1,073","1,086","2,159","11,813",11,"11,937",10
Sub-Total for Yes,,,,,"3,158","2,618","5,776","20,895",6,"18,797",7
Sub-Total for BOS - Boston,,,,,"15,994","15,243","31,237","1,629,486",101,"1,625,368",106
1952,09/2013,CLT - Charlotte,No,No,"20,524","20,512","41,036","2,126,317",103,"2,126,514",103
1953,09/2013,CLT - Charlotte,No,Yes,359,341,700,"2,285",6,"2,210",6
Sub-Total for No,,,,,"20,883","20,853","41,736","2,128,602",101,"2,128,724",102
1954,09/2013,CLT - Charlotte,Yes,Yes,841,853,"1,694","9,705",11,"9,823",11
Sub-Total for Yes,,,,,"1,200","1,194","2,394","11,990",9,"12,033",10
Sub-Total for CLT - Charlotte,,,,,"21,724","21,706","43,430","2,138,307",98,"2,138,547",98
1955,09/2013,DEN - Denver,No,No,"24,077","24,046","48,123","2,539,264",105,"2,539,000",105
1956,09/2013,DEN - Denver,No,Yes,182,163,345,"1,368",7,"1,258",7
Sub-Total for No,,,,,"24,259","24,209","48,468","2,540,632",104,"2,540,258",104
1957,09/2013,DEN - Denver,Yes,Yes,191,191,382,"2,471",12,"2,481",12
Sub-Total for Yes,,,,,373,354,727,"3,839",10,"3,739",10
Sub-Total for DEN - Denver,,,,,"24,450","24,400","48,850","2,543,103",104,"2,542,739",104
1958,09/2013,DFW - Dallas/Ft. Worth,No,No,"27,579","27,486","55,065","3,225,244",116,"3,222,636",117
1959,09/2013,DFW - Dallas/Ft. Worth,No,Yes,165,144,309,"1,745",10,"1,524",10
Sub-Total for No,,,,,"27,744","27,630","55,374","3,226,989",116,"3,224,160",116
1960,09/2013,DFW - Dallas/Ft. Worth,Yes,Yes,205,208,413,"2,024",9,"2,080",10
Sub-Total for Yes,,,,,370,352,722,"3,769",10,"3,604",10
Sub-Total for DFW - Dallas/Ft. Worth,,,,,"27,949","27,838","55,787","3,229,013",115,"3,226,240",115
1961,09/2013,DTW - Detroit,No,No,"17,177","17,069","34,246","1,674,441",97,"1,666,370",97
1962,09/2013,DTW - Detroit,No,Yes,64,69,133,398,6,419,6
Sub-Total for No,,,,,"17,241","17,138","34,379","1,674,839",97,"1,666,789",97
1963,09/2013,DTW - Detroit,Yes,Yes,299,292,591,"3,169",10,"3,082",10
Sub-Total for Yes,,,,,363,361,724,"3,567",9,"3,501",9
Sub-Total for DTW - Detroit,,,,,"17,540","17,430","34,970","1,678,008",95,"1,669,871",95
1964,09/2013,EWR - Newark,No,No,"16,282","16,275","32,557","1,895,599",116,"1,895,306",116
1965,09/2013,EWR - Newark,No,Yes,194,206,400,"1,755",9,"1,948",9
Sub-Total for No,,,,,"16,476","16,481","32,957","1,897,354",115,"1,897,254",115
1966,09/2013,EWR - Newark,Yes,Yes,342,342,684,"3,965",11,"3,981",11
Sub-Total for Yes,,,,,536,548,"1,084","5,720",10,"5,929",10
Sub-Total for EWR - Newark,,,,,"16,818","16,823","33,641","1,901,319",113,"1,901,235",113
1967,09/2013,IAH - Houston,No,No,"19,502","19,271","38,773","1,956,160",100,"1,931,980",100
1968,09/2013,IAH - Houston,No,Yes,244,234,478,"2,143",8,"2,055",8
Sub-Total for No,,,,,"19,746","19,505","39,251","1,958,303",99,"1,934,035",99
1969,09/2013,IAH - Houston,Yes,Yes,546,541,"1,087","6,015",11,"5,948",10
Sub-Total for Yes,,,,,790,775,"1,565","8,158",10,"8,003",10
Sub-Total for IAH - Houston,,,,,"20,292","20,046","40,338","1,964,318",96,"1,939,983",96
1970,09/2013,JFK - New York,No,No,"16,638","16,641","33,279","2,700,935",162,"2,693,618",161
1971,09/2013,JFK - New York,No,Yes,51,40,91,332,6,273,6
Sub-Total for No,,,,,"16,689","16,681","33,370","2,701,267",161,"2,693,891",161
1972,09/2013,JFK - New York,Yes,Yes,280,279,559,"3,046",10,"3,058",10
Sub-Total for Yes,,,,,331,319,650,"3,378",10,"3,331",10
Sub-Total for JFK - New York,,,,,"16,969","16,960","33,929","2,704,313",159,"2,696,949",159
1973,09/2013,LAS - Las Vegas,No,No,"14,654","14,621","29,275","2,092,900",142,"2,093,622",143
1974,09/2013,LAS - Las Vegas,No,Yes,267,244,511,"1,919",7,"1,786",7
Sub-Total for No,,,,,"14,921","14,865","29,786","2,094,819",140,"2,095,408",140
1975,09/2013,LAS - Las Vegas,Yes,Yes,"2,111","2,086","4,197","22,116",10,"21,895",10
Sub-Total for Yes,,,,,"2,378","2,330","4,708","24,035",10,"23,681",10
Sub-Total for LAS - Las Vegas,,,,,"17,032","16,951","33,983","2,116,935",124,"2,117,303",124
1976,09/2013,LAX - Los Angeles,No,No,"24,718","24,629","49,347","3,472,819",140,"3,455,367",140
1977,09/2013,LAX - Los Angeles,No,Yes,26,27,53,125,4,142,5
Sub-Total for No,,,,,"24,744","24,656","49,400","3,472,944",140,"3,455,509",140
1978,09/2013,LAX - Los Angeles,Yes,Yes,806,803,"1,609","9,422",11,"9,372",11
Sub-Total for Yes,,,,,832,830,"1,662","9,547",11,"9,514",11
Sub-Total for LAX - Los Angeles,,,,,"25,550","25,459","51,009","3,482,366",136,"3,464,881",136
1979,09/2013,LGA - New York,No,No,"14,942","14,958","29,900","1,489,197",99,"1,489,658",99
1980,09/2013,LGA - New York,No,Yes,46,67,113,333,7,507,7
Sub-Total for No,,,,,"14,988","15,025","30,013","1,489,530",99,"1,490,165",99
1981,09/2013,LGA - New York,Yes,Yes,326,328,654,"3,732",11,"3,738",11
Sub-Total for Yes,,,,,372,395,767,"4,065",10,"4,245",10
Sub-Total for LGA - New York,,,,,"15,314","15,353","30,667","1,493,262",97,"1,493,903",97
1982,09/2013,MCO - Orlando,No,No,"9,520","9,506","19,026","1,412,702",148,"1,411,568",148
1983,09/2013,MCO - Orlando,No,Yes,127,140,267,606,4,627,4
Sub-Total for No,,,,,"9,647","9,646","19,293","1,413,308",146,"1,412,195",146
1984,09/2013,MCO - Orlando,Yes,Yes,473,481,954,"4,695",9,"4,743",9
Sub-Total for Yes,,,,,600,621,"1,221","5,301",8,"5,370",8
Sub-Total for MCO - Orlando,,,,,"10,120","10,127","20,247","1,418,003",140,"1,416,938",139
1985,09/2013,MIA - Miami,No,No,"13,648","13,582","27,230","2,138,623",156,"2,136,640",157
1986,09/2013,MIA - Miami,No,Yes,137,128,265,"1,071",7,990,7
Sub-Total for No,,,,,"13,785","13,710","27,495","2,139,694",155,"2,137,630",155
1987,09/2013,MIA - Miami,Yes,Yes,554,595,"1,149","5,865",10,"6,251",10
Sub-Total for Yes,,,,,691,723,"1,414","6,936",10,"7,241",10
Sub-Total for MIA - Miami,,,,,"14,339","14,305","28,644","2,145,559",149,"2,143,881",149
1988,09/2013,MSP - Minneapolis,No,No,"16,807","16,798","33,605","1,708,622",101,"1,708,731",101
1989,09/2013,MSP - Minneapolis,No,Yes,196,201,397,976,4,993,4
Sub-Total for No,,,,,"17,003","16,999","34,002","1,709,598",100,"1,709,724",100
1990,09/2013,MSP - Minneapolis,Yes,Yes,663,653,"1,316","7,281",10,"7,198",11
Sub-Total for Yes,,,,,859,854,"1,713","8,257",9,"8,191",9
Sub-Total for MSP - Minneapolis,,,,,"17,666","17,652","35,318","1,716,879",97,"1,716,922",97
1991,09/2013,ORD - Chicago,No,No,"36,721","36,693","73,414","3,667,318",99,"3,665,471",99
1992,09/2013,ORD - Chicago,No,Yes,207,204,411,"2,237",10,"2,215",10
Sub-Total for No,,,,,"36,928","36,897","73,825","3,669,555",99,"3,667,686",99
1993,09/2013,ORD - Chicago,Yes,Yes,374,376,750,"4,044",10,"4,068",10
Sub-Total for Yes,,,,,581,580,"1,161","6,281",10,"6,283",10
Sub-Total for ORD - Chicago,,,,,"37,302","37,273","74,575","3,673,599",98,"3,671,754",98
1994,09/2013,PHL - Philadelphia,Unknown,Unknown,1,0,1,0,0,0,0
1995,09/2013,PHL - Philadelphia,No,No,"16,621","16,492","33,113","1,511,213",90,"1,508,553",91
1996,09/2013,PHL - Philadelphia,No,Yes,129,102,231,807,6,693,6
Sub-Total for No,,,,,"16,750","16,594","33,344","1,512,020",90,"1,509,246",90
1997,09/2013,PHL - Philadelphia,Yes,Yes,736,734,"1,470","7,897",10,"7,864",10
Sub-Total for Yes,,,,,865,836,"1,701","8,704",10,"8,557",10
Sub-Total for PHL - Philadelphia,,,,,"17,487","17,328","34,815","1,519,917",86,"1,517,110",87
1998,09/2013,PHX - Phoenix,No,No,"15,691","15,265","30,956","1,871,331",119,"1,871,400",122
1999,09/2013,PHX - Phoenix,No,Yes,531,415,946,"2,194",4,"1,554",3
Sub-Total for No,,,,,"16,222","15,680","31,902","1,873,525",115,"1,872,954",119
