Date,Facility,Total_ops,Total Delays,TMI_to,Dep,Abrn,TMI_from_local,TMI_from_non_local,Total_occ_at,Total_local_dep,Abrn_dest_to_Delays,Class_AC,Class_AT,Class_GA,Class_Mil,Cause_Wx,Cause_Vol,Cause_Equip,Cause_Rwy,Cause_Other,Avg_delay_time,Total_delay_time
Sub-Total for 01/07/2011,,27488,817,696,114,7,0,300,421,114,37,549,266,2,0,787,27,0,3,0,60.47,49406
01/08/2011,ATL,2126,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,BOS,696,0,0,0,0,0,12,12,0,20,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,CLT,1301,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,DEN,1364,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,DFW,1599,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,DTW,976,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,EWR,828,0,0,0,0,0,9,9,0,2,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,IAH,1188,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,JFK,1067,45,42,3,0,0,0,3,3,14,29,16,0,0,41,4,0,0,0,48,2160
01/08/2011,LAS,1266,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,LAX,1408,3,3,0,0,0,7,7,0,0,2,1,0,0,0,0,0,3,0,22,66
01/08/2011,LGA,569,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,MCO,911,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,MIA,1099,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,MSP,929,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,ORD,1950,1,1,0,0,0,12,12,0,0,1,0,0,0,0,1,0,0,0,17,17
01/08/2011,PHL,959,233,227,0,6,0,0,6,0,20,123,110,0,0,233,0,0,0,0,90,20970
01/08/2011,PHX,1148,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,SEA,701,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/2011,SFO,894,55,55,0,0,0,2,2,0,2,38,16,1,0,55,0,0,0,0,39,2145
Sub-Total for 01/08/2011,,22979,337,328,3,6,0,122,131,3,58,193,143,1,0,329,5,0,3,0,75.25,25358
01/09/2011,ATL,2005,1,1,0,0,0,6,6,0,0,0,1,0,0,0,1,0,0,0,23,23
01/09/2011,BOS,863,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2011,CLT,1402,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2011,DEN,1508,167,167,0,0,0,3,3,0,0,141,26,0,0,0,0,167,0,0,55,9185
01/09/2011,DFW,1361,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2011,DTW,1054,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2011,EWR,1005,1,1,0,0,0,1,1,0,3,0,1,0,0,0,1,0,0,0,36,36
01/09/2011,IAH,1363,3,3,0,0,0,4,4,0,1,1,1,1,0,3,0,0,0,0,30,90
01/09/2011,JFK,1106,73,43,30,0,47,0,77,77,40,62,10,1,0,72,1,0,0,0,33,2409
01/09/2011,LAS,1453,24,0,24,0,0,6,30,24,0,22,1,1,0,0,24,0,0,0,20,480
01/09/2011,LAX,1497,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2011,LGA,922,2,2,0,0,0,3,3,0,0,0,1,1,0,0,2,0,0,0,16,32
01/09/2011,MCO,859,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2011,MIA,1097,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2011,MSP,1076,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2011,ORD,2253,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2011,PHL,1167,2,2,0,0,0,5,5,0,1,2,0,0,0,0,2,0,0,0,26,52
01/09/2011,PHX,1161,7,1,6,0,0,8,14,6,0,7,0,0,0,0,0,0,7,0,18,126
01/09/2011,SEA,747,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
01/09/2011,SFO,1024,31,31,0,0,0,5,5,0,1,23,8,0,0,31,0,0,0,0,40,1240
Sub-Total for 01/09/2011,,24923,311,251,60,0,47,92,199,107,46,258,49,4,0,106,31,167,7,0,43.96,13673
01/10/2011,ATL,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2011,BOS,970,2,2,0,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,29,58
01/10/2011,CLT,741,25,25,0,0,0,0,0,0,0,20,5,0,0,25,0,0,0,0,34,850
01/10/2011,DEN,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2011,DFW,1602,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2011,DTW,1165,1,1,0,0,0,3,3,0,0,0,1,0,0,0,1,0,0,0,22,22
01/10/2011,EWR,1075,5,5,0,0,0,0,0,0,9,2,3,0,0,0,5,0,0,0,21,105
01/10/2011,IAH,1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2011,JFK,1101,3,3,0,0,23,0,23,23,0,1,2,0,0,0,3,0,0,0,35,105
01/10/2011,LAS,1342,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
01/10/2011,LAX,1561,4,4,0,0,0,0,0,0,0,3,0,1,0,2,2,0,0,0,22,88
